sample_type,N_rate,P_rate,K_rate,Zn_rate,global_warming,freshwater_eutrophication,terrestrial_acidification,terrestrial_ecotoxicity
OAT_N,149.7782,50.0,30.0,20.0,5216.649236394618,0.41258040710207367,26.671397765042155,13641.891967393714
OAT_N,124.2129,50.0,30.0,20.0,5089.739652713375,0.3750377584813437,26.120344946413432,13509.291275227082
OAT_N,147.9985,50.0,30.0,20.0,5207.814566507016,0.4099669172642735,26.633036834354332,13632.661117302032
OAT_N,128.2661,50.0,30.0,20.0,5109.8602820264205,0.380989883564544,26.207710527277573,13530.314190095653
OAT_N,135.5507,50.0,30.0,20.0,5146.022015050652,0.3916873202518729,26.364728022186018,13568.097552784826
OAT_N,146.2611,50.0,30.0,20.0,5199.189879502061,0.4074155449856905,26.595587668215632,13623.64966652421
OAT_N,134.3309,50.0,30.0,20.0,5139.966763980866,0.38989604368607605,26.338435577811676,13561.770761223412
OAT_N,133.5941,50.0,30.0,20.0,5136.309189798036,0.3888140527255259,26.3225540619771,13557.949167501118
OAT_N,143.9604,50.0,30.0,20.0,5187.768895622527,0.4040369665343634,26.545996729724042,13611.716522283075
OAT_N,147.2234,50.0,30.0,20.0,5203.966865978904,0.4088286827453776,26.616329772840515,13628.640871245922
OAT_N,132.9032,50.0,30.0,20.0,5132.87946938148,0.3877994659249774,26.307661907674564,13554.365645374728
OAT_N,134.0916,50.0,30.0,20.0,5138.778846632942,0.38954463158393215,26.333277533920235,13560.529573142872
OAT_N,139.4036,50.0,30.0,20.0,5165.148328255092,0.3973453047414276,26.447776193140182,13588.081562628195
OAT_N,138.5007,50.0,30.0,20.0,5160.666211358135,0.3960193958946839,26.42831443873324,13583.398450559991
OAT_N,144.1642,50.0,30.0,20.0,5188.780586201328,0.4043362468787718,26.55038958114517,13612.77358091582
OAT_N,142.7144,50.0,30.0,20.0,5181.583584232994,0.4022072152628575,26.519139551751895,13605.253838002445
OAT_N,143.2007,50.0,30.0,20.0,5183.9976427632755,0.4029213469188233,26.529621610859326,13607.776152100092
OAT_N,139.8014,50.0,30.0,20.0,5167.123060896149,0.397929474128109,26.456350659751198,13590.144849792592
OAT_N,120.4277,50.0,30.0,20.0,5070.949411403857,0.369479191456541,26.038756029832232,13489.658408020783
OAT_N,126.2306,50.0,30.0,20.0,5099.755786574258,0.3780007513710045,26.163835899859986,13519.756570630792
OAT_N,130.9081,50.0,30.0,20.0,5122.975524956715,0.3848696611402411,26.264658090842914,13544.0175704082
OAT_N,123.5739,50.0,30.0,20.0,5086.567570869144,0.37409938684210425,26.106571481947782,13505.976945166623
OAT_N,146.1556,50.0,30.0,20.0,5198.6661633290305,0.4072606182127019,26.59331364552217,13623.102464925805
OAT_N,121.8406,50.0,30.0,20.0,5077.96323681499,0.3715540354144147,26.069210690150733,13496.98676004334
OAT_N,138.4697,50.0,30.0,20.0,5160.512323193548,0.3959738723879289,26.42764624249155,13583.237661464724
OAT_N,121.9331,50.0,30.0,20.0,5078.42241924158,0.3716898716845707,26.07120450151704,13497.466533956624
OAT_N,148.771,50.0,30.0,20.0,5211.649360285838,0.4111013336826027,26.64968785360271,13636.667877821123
OAT_N,141.7699,50.0,30.0,20.0,5176.894959347429,0.40082021680704905,26.498781121098048,13600.354957341884
OAT_N,143.3801,50.0,30.0,20.0,5184.888208464143,0.40318479585791483,26.533488527174093,13608.70665415462
OAT_N,137.7904,50.0,30.0,20.0,5157.140186735353,0.39497632018990814,26.413004122911715,13579.714305580426
